text,language
Forlorn hope,English
Short end of the stick - The,English
Loose cannon,English
Pass the buck,English
Magical realism,English
Abracadabra,English
Bandy words,English
No more cakes and ale?,English
Sold down the river,English
Kickin' - Alive and,English
Derdemannetjie speel.,Afrikaans
Sticky wicket,English
"Moenie wag dat iets vorendag km nie, vat ‘n graaf en soek die skat.",Afrikaans
Biblical phrases,English
Join the colours,English
Make a virtue of necessity,English
Keep up with the Joneses,English
Raise Cain,English
Kowtow to,English
The year dot,English
Daar is baie goeie maniere om jou teen versoeking te beskerm – die maklikste is om ‘n lafaard te wees.,Afrikaans
"Saam met ons, rondom ons, in ons en by ons is die onsienlike. Hy sal altyd daar wees.",Afrikaans
Carbon-copy,English
"Waar rook is, is vuur.",Nederlands
Get a word in edgeways,English
"“Pasop vir Chantel, sy brand die kookwater”.",Afrikaans
Lyk of hy van die ape gekul is.,Afrikaans
Run a mile,English
‘n Mens moet die wêreld ‘n beter plek agterlaat as wat jy dit gekry het.,Afrikaans
"Wyse woorde val dikwels op bar grond, maar ‘n vriendelike woord word nooit misken nie.",Afrikaans
Not rocket science,English
Butt end of the stick - The,English
Do unto others as you would have them do to you,English
A stone's throw,English
Men in suits,English
Physician heal thyself,English
Let not the sun go down on your wrath,English
Cleft stick - In a,English
The whole nine yards,English
"Moenie roem dat jy geen kwaad gedoen het nie. Watter goed het jy gedoen” ‘n Steeks perd is nie meer werd as een wat skop nie. Hy beteken minder – een wat skop, kan jy terug skop, maar jy kan nie terug steeks wees nie.",Afrikaans
Chain is only as strong as its weakest link - A,English
"That's one small step for a man, a giant leap for mankind",English
Finger lickin good,English
"Jan van Rooy, vang ‘n vlooi – poef hom rooi en sê – dis mooi!",Afrikaans
Jannie is al ringbek.,Afrikaans
Vergelyk eers wat jy het met wat jy nie het nie – dan kan jy waardeer wat jy nie het nie en liefkry wat jy het.,Afrikaans
Zero tolerance,English
Cut to the chase,English
"Uit het oog, uit het hart.",Nederlands
"If you can't stand the heat, get out of the kitchen",English
Thorn in the flesh,English
Chaise lounge,English
Copper-bottomed,English
Die son sit manshoogte van die berg af.,Afrikaans
"Close, but no cigar",English
Senior citizen,English
An ill wind,English
I see you stand like greyhounds in the slips,English
Nail your colours to the mast,English
Get over it,English
Packed to the gunwales,English
Lick and a promise,English
Middle for diddle,English
Vice versa,English
Die has been cast - The,English
